IDREGION,REGION,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75+
31,JAKARTA,870186,943469,812299,729103,734549,892885,1012459,989566,882405,748985,629438,505278,377312,251089,146235,119728
99,OUTSIDE JAVA,11418906,11497447,11046057,10380603,9898160,9496792,9213129,8848402,8341127,7440323,6284207,5039760,3826613,2592498,1611938,1636057
3201,BOGOR,580598,586163,568319,556909,563145,516965,491724,470956,435013,367749,297491,223458,167392,109382,72876,80093
3202,SUKABUMI,214988,228942,229553,204316,193845,176752,165472,172567,177277,170952,148511,119925,96586,68547,46443,55543
3203,CIANJUR,200345,210684,211931,190065,175072,159254,151293,160753,159205,157884,137550,112637,87133,61710,41761,47051
3204,BANDUNG,356854,367015,333187,323960,313809,317446,312833,291684,272605,242483,202870,169182,119972,88231,55045,64329
3205,GARUT,248882,265908,264197,226960,198254,188589,175657,178651,173597,167112,143689,119267,102274,74468,50709,58423
3206,TASIKMALAYA,139404,153310,155487,132606,109639,110931,109488,126264,133638,134099,113586,95051,86096,62884,42656,50571
3207,CIAMIS,83832,91154,94007,84124,68428,68993,70341,78434,89843,96499,91534,85788,70676,55023,34252,38757
3208,KUNINGAN,85161,86863,89224,80516,69325,72892,73563,75507,81536,77523,72183,63285,54152,40769,29347,35259
3209,CIREBON,178285,183614,203439,200004,182078,177293,168006,159916,155433,140797,127849,106349,85027,59046,41519,40978
3210,MAJALENGKA,91473,94019,94481,84514,75152,83628,84531,87184,89418,90262,83621,74368,64031,46321,31745,35961
3211,SUMEDANG,84937,88711,85993,89930,83577,77304,73288,76348,85484,84203,78364,72955,59231,44883,29562,39658
3212,INDRAMAYU,130872,136285,145990,139926,122676,125797,126551,130531,129898,126336,118165,98854,83979,53110,34850,33804
3213,SUBANG,118888,124352,126259,119206,106519,113142,107347,118896,125035,121211,114068,95970,80032,58059,39429,44163
3214,PURWAKARTA,87033,87856,85016,83533,81818,75668,72560,71618,71091,62959,53540,44819,35296,26256,15840,16986
3215,KARAWANG,200660,197195,194539,194071,201729,195592,189505,182089,178411,159192,137295,110582,91431,62844,38398,36955
3216,BEKASI,383886,347020,301028,317809,401806,390398,372951,338476,291731,223566,173401,124468,96822,58246,38180,39229
3217,BANDUNG BARAT,152991,161938,151545,140318,130637,134208,128632,128048,122230,112003,95338,79618,61448,47306,31204,37518
3218,PANGANDARAN,28155,28873,30616,26135,23063,23244,24282,28182,32587,34074,31468,27898,22243,16437,11133,13103
3271,KOTA BOGOR,94264,93072,87507,95993,103066,97059,91565,87902,85630,76205,66725,53799,36165,24750,15780,17445
3272,KOTA SUKABUMI,28028,28321,26408,27675,27037,25822,23974,22672,24252,23013,20893,17709,12349,9289,6121,7128
3273,KOTA BANDUNG,193295,188127,169557,212428,252914,225369,207175,190252,187382,171873,153734,127830,86640,63534,38836,41157
3274,KOTA CIREBON,25766,25749,25705,27450,25879,25256,24883,23017,24290,22668,21175,18613,12942,8326,5240,5363
3275,KOTA BEKASI,258437,247709,223850,256528,299310,294028,275481,253514,250323,226383,183614,133133,79541,45325,24709,23805
3276,KOTA DEPOK,220651,207385,180941,194865,219627,223401,227667,216069,203352,171877,139745,107958,72655,47745,25959,24289
3277,KOTA CIMAHI,51988,50549,45009,51231,57643,55386,55256,50789,48595,41952,34786,27703,19088,13685,8134,8599
3278,KOTA TASIKMALAYA,54933,57139,56155,57383,54109,50533,48178,47534,48090,45893,39835,34505,27013,19240,11392,12054
3279,KOTA BANJAR,13998,14244,14645,14800,11953,12170,11229,11668,13672,14496,13404,11949,8468,6824,4492,5287
3301,CILACAP,136152,143316,153328,130728,115084,113704,105765,117962,125245,124399,115184,108896,87041,60193,39354,57930
3302,BANYUMAS,132324,134409,132508,126473,125541,116029,111821,120560,118019,115123,110661,106119,88198,65896,42098,60846
3303,PURBALINGGA,76226,78076,77891,69798,68414,67692,62090,64585,60845,60972,57238,56546,51216,38061,23483,29442
3304,BANJARNEGARA,72576,75702,74000,69228,68745,68325,60184,62859,63972,62807,60354,56060,48522,35869,21626,27389
3305,KEBUMEN,90173,98020,107302,93012,73312,69646,67387,75380,82826,84490,82578,75899,64524,49172,35267,51633
3306,PURWOREJO,47848,53281,57536,55004,43455,39329,38767,44204,52363,54237,53198,47164,37645,33693,25468,36719
3307,WONOSOBO,62849,66648,67208,59097,57439,55126,52259,55138,56000,53034,50684,47406,38279,28917,18958,24361
3308,MAGELANG,94810,100170,102187,100642,93151,88233,85151,90526,93597,88773,87399,79423,67656,49913,33480,46166
3309,BOYOLALI,72268,73887,75243,71003,69712,68012,62704,65442,68567,66972,66792,60749,53571,39887,29598,45212
3310,KLATEN,81156,82478,80408,83309,81428,79975,74954,79189,84697,83273,81201,77147,65389,51002,35608,57287
3311,SUKOHARJO,62422,65182,64482,69521,73602,69626,65478,63829,64860,60717,57944,52134,43772,32291,21174,31342
3312,WONOGIRI,55814,62072,65582,59877,50504,51996,50925,60701,69170,71146,75761,74963,67080,51625,36607,57779
3313,KARANGANYAR,65357,67735,64853,63539,65605,66344,61451,62837,64534,61088,61787,55461,45294,32496,22858,32440
3314,SRAGEN,61992,64702,65521,62937,59368,61974,57433,58022,62008,61586,64656,59651,51543,37500,25799,38224
3315,GROBOGAN,101906,107650,113949,108624,112629,97426,89147,91197,99528,99687,90258,77399,67149,50852,34351,42039
3316,BLORA,58670,64063,64145,60045,60574,60507,59095,60617,63217,64724,62194,56775,42335,30801,23598,36439
3317,REMBANG,43546,47030,47583,52086,54628,49144,46542,45379,46325,45715,43751,38340,28817,20058,14492,19284
3318,PATI,85755,91796,94081,97219,91881,89081,85005,87298,92781,92857,88890,76933,65819,49485,34775,42026
3319,KUDUS,63870,67296,67151,75168,83736,74898,65573,63446,64709,60696,56358,45769,34958,25807,15524,16169
3320,JEPARA,104687,105116,101550,105244,114810,104827,92500,91369,86399,79528,73223,64011,56352,39398,25633,30535
3321,DEMAK,92209,98087,102255,108786,110715,92937,80665,80809,82442,75718,68997,56942,46545,32446,21446,22621
3322,SEMARANG,77962,78822,78001,83650,93125,84437,73613,74066,75174,71370,69261,61661,46316,34785,26216,38336
3323,TEMANGGUNG,57625,59039,57371,55930,56795,52322,51623,55736,59279,56749,54967,50460,36784,27753,19548,26207
3324,KENDAL,72687,75817,77612,81260,81264,73044,65758,64909,71318,69799,66969,56853,41416,31092,22987,25132
3325,BATANG,58190,60403,63089,65061,68741,59806,51456,52590,54932,53446,48321,44319,35626,25506,15625,17578
3326,PEKALONGAN,73504,77797,82495,80507,78022,68900,60466,59480,60397,59160,53562,46404,37876,26428,17670,20443
