IDREGION,REGION,HOSPITAL_BEDS,BEDS_PER_1000,ICU_PER_1000,POP
31,JAKARTA,23660,2.2226,0.1927,10644986
99,OUTSIDE JAVA,147637,1.2451,0.0762,118572019
3201,BOGOR,3952,0.6491,0.0626,6088233
3202,SUKABUMI,1133,0.4587,0.0563,2470219
3203,CIANJUR,935,0.4129,0.0856,2264328
3204,BANDUNG,1401,0.3657,0.0435,3831505
3205,GARUT,1075,0.4077,0.0307,2636637
3206,TASIKMALAYA,321,0.1828,0.0271,1755710
3207,CIAMIS,718,0.5975,0.0492,1201685
3208,KUNINGAN,1283,1.1802,0.0505,1087105
3209,CIREBON,2055,0.9300,0.0875,2209633
3210,MAJALENGKA,585,0.4832,0.0565,1210709
3211,SUMEDANG,744,0.6445,0.0647,1154428
3212,INDRAMAYU,1013,0.5830,0.0836,1737624
3213,SUBANG,840,0.5209,0.0382,1612576
3214,PURWAKARTA,1448,1.4899,0.0720,971889
3215,KARAWANG,2886,1.2175,0.0602,2370488
3216,BEKASI,4399,1.1282,0.0966,3899017
3217,BANDUNG BARAT,762,0.4443,0.0350,1714982
3218,PANGANDARAN,230,0.5729,0.0000,401493
3271,KOTA BOGOR,2737,2.4287,0.0767,1126927
3272,KOTA SUKABUMI,1317,3.9826,0.0909,330691
3273,KOTA BANDUNG,5972,2.3792,0.0958,2510103
3274,KOTA CIREBON,1355,4.2039,0.0738,322322
3275,KOTA BEKASI,5391,1.7528,0.0900,3075690
3276,KOTA DEPOK,2856,1.1497,0.0931,2484186
3277,KOTA CIMAHI,1449,2.3356,0.0458,620393
3278,KOTA TASIKMALAYA,1241,1.8690,0.0542,663986
3279,KOTA BANJAR,513,2.7987,0.0457,183299
3301,CILACAP,1331,0.7675,0.0471,1734281
3302,BANYUMAS,3215,1.8838,0.0801,1706625
3303,PURBALINGGA,803,0.8519,0.0372,942575
3304,BANJARNEGARA,673,0.7250,0.0490,928218
3305,KEBUMEN,1400,1.1661,0.0705,1200621
3306,PURWOREJO,958,1.3307,0.0565,719911
3307,WONOSOBO,666,0.8394,0.1106,793403
3308,MAGELANG,591,0.4542,0.1022,1301277
3309,BOYOLALI,1084,1.0954,0.0587,989619
3310,KLATEN,1935,1.6419,0.0778,1178501
3311,SUKOHARJO,1390,1.5472,0.1025,898376
3312,WONOGIRI,1055,1.0971,0.0742,961602
3313,KARANGANYAR,823,0.9209,0.0315,893679
3314,SRAGEN,1232,1.3797,0.0648,892916
3315,GROBOGAN,1005,0.7263,0.0834,1383791
3316,BLORA,562,0.6476,0.0598,867799
3317,REMBANG,582,0.9055,0.1039,642720
3318,PATI,1265,0.9995,0.0614,1265682
3319,KUDUS,1427,1.6195,0.0631,881128
3320,JEPARA,1010,0.7920,0.0436,1275182
3321,DEMAK,703,0.5990,0.0536,1173620
3322,SEMARANG,808,0.7574,0.0390,1066795
3323,TEMANGGUNG,777,0.9985,0.0617,778188
3324,KENDAL,660,0.6749,0.0578,977917
3325,BATANG,499,0.6441,0.0407,774689
3326,PEKALONGAN,563,0.6234,0.0497,903111
3327,PEMALANG,1161,0.8892,0.0411,1305708
3328,TEGAL,1325,0.9176,0.0556,1443927
3329,BREBES,1430,0.7878,0.0656,1815086
3371,KOTA MAGELANG,1350,11.0317,0.1320,122375
3372,KOTA SURAKARTA,3440,6.6017,0.0940,521077
3373,KOTA SALATIGA,799,4.0641,0.0469,196599
3374,KOTA SEMARANG,5447,2.9559,0.0664,1842785
3375,KOTA PEKALONGAN,804,2.5967,0.0592,309618
3376,KOTA TEGAL,918,3.6621,0.1122,250677
3401,KULON PROGO,581,1.3372,0.0629,434483
3402,BANTUL,1215,1.1796,0.0467,1029997
3403,GUNUNG KIDUL,424,0.5659,0.0541,749274
3404,SLEMAN,2953,2.3958,0.0652,1232598
3471,KOTA YOGYAKARTA,1865,4.2782,0.0637,435936
3501,PACITAN,321,0.5774,0.0398,555984
3502,PONOROGO,1037,1.1895,0.1511,871825
3503,TRENGGALEK,413,0.5920,0.1160,697600
3504,TULUNGAGUNG,1368,1.3114,0.1324,1043182
3505,BLITAR,696,0.5980,0.0921,1163789
3506,KEDIRI,1199,0.7588,0.0713,1580092
3507,MALANG,2757,1.0523,0.0334,2619975
3508,LUMAJANG,874,0.8366,0.0535,1044718
3509,JEMBER,1899,0.7720,0.0749,2459890
3510,BANYUWANGI,1563,0.9661,0.0952,1617814
3511,BONDOWOSO,461,0.5919,0.0604,778789
3512,SITUBONDO,692,1.0091,0.1103,685776
3513,PROBOLINGGO,735,0.6256,0.1105,1174890
3514,PASURUAN,1010,0.6167,0.0837,1637682
3515,SIDOARJO,3046,1.3347,0.0867,2282215
3516,MOJOKERTO,1232,1.0938,0.0610,1126392
3517,JOMBANG,1389,1.0950,0.1740,1268504
3518,NGANJUK,948,0.8969,0.0421,1057011
3519,MADIUN,428,0.6259,0.1441,683784
3520,MAGETAN,534,0.8489,0.0741,629020
3521,NGAWI,640,0.7710,0.1611,830134
3522,BOJONEGORO,1305,1.0423,0.1795,1252020
3523,TUBAN,870,0.7392,0.1211,1177016
3524,LAMONGAN,1406,1.1821,0.1036,1189380
3525,GRESIK,1610,1.2138,0.0823,1326420
3526,BANGKALAN,477,0.4798,0.2334,994212
3527,SAMPANG,340,0.3438,0.1408,989001
3528,PAMEKASAN,667,0.7509,0.0609,888214
3529,SUMENEP,441,0.4037,0.1399,1092387
3571,KOTA KEDIRI,1564,5.4097,0.1114,289109
3572,KOTA BLITAR,626,4.3838,0.0857,142798
3573,KOTA MALANG,2991,3.4187,0.1020,874890
3574,KOTA PROBOLINGGO,509,2.1295,0.1072,239024
3575,KOTA PASURUAN,399,1.9793,0.0337,201585
3576,KOTA MOJOKERTO,807,6.2129,0.0828,129891
3577,KOTA MADIUN,1120,6.3135,0.1460,177399
3578,KOTA SURABAYA,9700,3.3394,0.0955,2904751
3579,KOTA BATU,600,2.8691,0.0948,209125
3601,PANDEGLANG,325,0.2677,0.0150,1214007
3602,LEBAK,724,0.5533,0.0275,1308406
3603,TANGERANG,2672,0.6836,0.0776,3908880
3604,SERANG,421,0.2781,0.0404,1513996
3671,KOTA TANGERANG,3777,1.6612,0.0702,2273697
3672,KOTA CILEGON,628,1.4182,0.0641,442803
3673,KOTA SERANG,1963,2.8079,0.0572,699102
3674,KOTA TANGERANG SELATAN,2546,1.4148,0.0741,1799605
