date,ACEH,SUMATERA UTARA,SUMATERA BARAT,RIAU,JAMBI,SUMATERA SELATAN,BENGKULU,LAMPUNG,KEPULAUAN BANGKA BELITUNG,KEPULAUAN RIAU,DKI JAKARTA,JAWA BARAT,JAWA TENGAH,DAERAH ISTIMEWA YOGYAKARTA,JAWA TIMUR,BANTEN,BALI,NUSA TENGGARA BARAT,NUSA TENGGARA TIMUR,KALIMANTAN BARAT,KALIMANTAN TENGAH,KALIMANTAN SELATAN,KALIMANTAN TIMUR,KALIMANTAN UTARA,SULAWESI UTARA,SULAWESI TENGAH,SULAWESI SELATAN,SULAWESI TENGGARA,GORONTALO,SULAWESI BARAT,MALUKU,MALUKU UTARA,PAPUA BARAT,PAPUA
2020-03-01,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,
2020-03-28,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,
2020-03-29,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,
2020-04-02,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,
2020-04-04,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,
2020-04-05,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,
2020-04-06,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,
2020-04-09,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,
