date,prov,suspected,confirmed
23/05/2020,BANTEN,921,411
24/05/2020,BANTEN,941,414
25/05/2020,BANTEN,940,421
26/05/2020,BANTEN,944,421
27/05/2020,BANTEN,963,425
28/05/2020,BANTEN,981,424
29/05/2020,BANTEN,994,408
30/05/2020,BANTEN,1015,402
31/05/2020,BANTEN,1048,387
01/06/2020,BANTEN,1050,394
02/06/2020,BANTEN,1048,397
03/06/2020,BANTEN,1049,399
04/06/2020,BANTEN,1029,397
05/06/2020,BANTEN,1043,395
06/06/2020,BANTEN,1068,399
07/06/2020,BANTEN,1055,407
08/06/2020,BANTEN,961,400
09/06/2020,BANTEN,978,408
10/06/2020,BANTEN,937,417
11/06/2020,BANTEN,633,389
12/06/2020,BANTEN,606,438
13/06/2020,BANTEN,603,444
14/06/2020,BANTEN,604,427
15/06/2020,BANTEN,481,433
16/06/2020,BANTEN,446,424
17/06/2020,BANTEN,452,395
18/06/2020,BANTEN,449,398
19/06/2020,BANTEN,457,379
20/06/2020,BANTEN,443,355
21/06/2020,BANTEN,443,355
22/06/2020,BANTEN,482,323
23/06/2020,BANTEN,470,334
24/06/2020,BANTEN,479,336
25/06/2020,BANTEN,464,331
26/06/2020,BANTEN,454,325
27/06/2020,BANTEN,449,324
28/06/2020,BANTEN,443,318
29/06/2020,BANTEN,448,311
30/06/2020,BANTEN,416,295
01/07/2020,BANTEN,416,295
02/07/2020,BANTEN,354,296
03/07/2020,BANTEN,299,298
04/07/2020,BANTEN,285,292
05/07/2020,BANTEN,296,291
06/07/2020,BANTEN,287,289
07/07/2020,BANTEN,263,281
08/07/2020,BANTEN,259,261
09/07/2020,BANTEN,248,255
10/07/2020,BANTEN,216,230
11/07/2020,BANTEN,179,222
12/07/2020,BANTEN,179,219
13/07/2020,BANTEN,169,208
14/07/2020,BANTEN,172,199
15/07/2020,BANTEN,180,209
16/07/2020,BANTEN,187,209
17/07/2020,BANTEN,,
18/07/2020,BANTEN,205,214
19/07/2020,BANTEN,207,204
20/07/2020,BANTEN,214,188
21/07/2020,BANTEN,216,187
22/07/2020,BANTEN,224,192
23/07/2020,BANTEN,228,197
24/07/2020,BANTEN,232,195
25/07/2020,BANTEN,221,204
26/07/2020,BANTEN,219,192
27/07/2020,BANTEN,220,195
28/07/2020,BANTEN,231,195
29/07/2020,BANTEN,255,214
30/07/2020,BANTEN,255,214
31/07/2020,BANTEN,255,214
01/08/2020,BANTEN,282,215
02/08/2020,BANTEN,282,215
03/08/2020,BANTEN,,
04/08/2020,BANTEN,282,215
05/08/2020,BANTEN,,
06/08/2020,BANTEN,282,215
07/08/2020,BANTEN,,
08/08/2020,BANTEN,,
09/08/2020,BANTEN,282,215
10/08/2020,BANTEN,282,215
11/08/2020,BANTEN,,
12/08/2020,BANTEN,330,345
13/08/2020,BANTEN,337,350
14/08/2020,BANTEN,249,356
15/08/2020,BANTEN,263,359
16/08/2020,BANTEN,260,403
17/08/2020,BANTEN,260,405
18/08/2020,BANTEN,101,473
19/08/2020,BANTEN,135,480
20/08/2020,BANTEN,134,473
21/08/2020,BANTEN,152,509
