date,ACEH,SUMATERA UTARA,SUMATERA BARAT,RIAU,JAMBI,SUMATERA SELATAN,BENGKULU,LAMPUNG,KEPULAUAN BANGKA BELITUNG,KEPULAUAN RIAU,DKI JAKARTA,JAWA BARAT,JAWA TENGAH,DAERAH ISTIMEWA YOGYAKARTA,JAWA TIMUR,BANTEN,BALI,NUSA TENGGARA BARAT,NUSA TENGGARA TIMUR,KALIMANTAN BARAT,KALIMANTAN TENGAH,KALIMANTAN SELATAN,KALIMANTAN TIMUR,KALIMANTAN UTARA,SULAWESI UTARA,SULAWESI TENGAH,SULAWESI SELATAN,SULAWESI TENGGARA,GORONTALO,SULAWESI BARAT,MALUKU,MALUKU UTARA,PAPUA BARAT,PAPUA,
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-03,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-05,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-09,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-12,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-13,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-14,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-15,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-16,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-17,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-18,0,1,0,1,0,0,0,1,0,0,38,12,2,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2020-03-19,0,1,0,1,0,0,0,0,0,2,51,2,4,2,1,10,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,
2020-03-20,0,0,0,-1,0,0,0,0,0,1,13,15,0,-1,6,10,3,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,
2020-03-21,0,0,0,0,0,0,0,0,0,0,44,14,2,1,11,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
2020-03-22,0,0,0,0,0,0,0,0,0,0,39,4,1,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,
2020-03-23,0,0,0,0,1,0,0,0,0,1,49,0,0,0,0,9,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,
2020-03-24,0,5,0,1,0,1,0,0,0,0,71,1,4,1,10,9,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,
2020-03-25,0,0,0,0,0,0,0,0,0,0,45,13,19,11,0,2,3,1,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,
2020-03-26,1,0,3,1,0,0,0,2,0,0,43,5,2,0,8,0,0,0,0,0,2,0,0,0,0,1,14,0,0,0,0,0,0,4,
2020-03-27,3,0,2,0,0,0,0,1,0,0,51,20,3,6,7,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,
2020-03-28,0,0,0,0,0,1,0,0,0,0,37,21,12,0,11,10,0,0,0,0,1,0,6,2,0,1,4,0,0,0,0,0,0,0,
2020-03-29,0,0,0,1,0,0,0,0,0,0,98,30,8,0,13,3,1,0,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,2,
2020-03-30,0,5,3,1,1,0,0,4,1,1,26,25,17,1,1,22,9,0,0,1,0,4,0,0,0,0,4,0,0,0,0,0,0,0,
2020-03-31,0,6,0,0,0,3,1,0,1,1,14,16,13,5,2,14,0,2,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,1,
2020-04-01,0,2,0,0,0,0,0,0,0,0,75,21,11,5,11,11,6,2,0,1,0,0,1,0,1,0,15,0,0,0,0,0,0,0,
2020-04-02,0,0,0,4,0,6,0,0,0,0,93,15,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
