prov,region
ACEH,Outside Java
NORTH SUMATERA,Outside Java
WEST SUMATERA,Outside Java
RIAU,Outside Java
JAMBI,Outside Java
SOUTH SUMATERA,Outside Java
BENGKULU,Outside Java
LAMPUNG,Outside Java
BANGKA BELITUNG ISLANDS,Outside Java
RIAU ISLANDS,Outside Java
JAKARTA,Jakarta
WEST JAVA,Other Java Provinces
CENTRAL JAVA,Other Java Provinces
YOGYAKARTA,Other Java Provinces
EAST JAVA,Other Java Provinces
BANTEN,Other Java Provinces
BALI,Outside Java
WEST NUSA TENGGARA,Outside Java
EAST NUSA TENGGARA,Outside Java
WEST KALIMANTAN,Outside Java
CENTRAL KALIMANTAN,Outside Java
SOUTH KALIMANTAN,Outside Java
EAST KALIMANTAN,Outside Java
NORTH KALIMANTAN,Outside Java
NORTH SULAWESI,Outside Java
CENTRAL SULAWESI,Outside Java
SOUTH SULAWESI,Outside Java
SOUTHEAST SULAWESI,Outside Java
GORONTALO,Outside Java
WEST SULAWESI,Outside Java
MALUKU,Outside Java
NORTH MALUKU,Outside Java
WEST PAPUA,Outside Java
PAPUA,Outside Java
