prov,pop
ACEH,5388100
SUMATERA UTARA,14798400
SUMATERA BARAT,5545700
RIAU,6951200
JAMBI,3604200
SUMATERA SELATAN,8600800
BENGKULU,1994300
LAMPUNG,8534800
KEPULAUAN BANGKA BELITUNG,1469800
KEPULAUAN RIAU,2309500
DKI JAKARTA,10576400
JAWA BARAT,49565200
JAWA TENGAH,34738200
DAERAH ISTIMEWA YOGYAKARTA,3919200
JAWA TIMUR,39955900
BANTEN,12895300
BALI,4414400
NUSA TENGGARA BARAT,5225900
NUSA TENGGARA TIMUR,5513400
KALIMANTAN BARAT,5104900
KALIMANTAN TENGAH,2686300
KALIMANTAN SELATAN,4268600
KALIMANTAN TIMUR,3664700
KALIMANTAN UTARA,708400
SULAWESI UTARA,2512900
SULAWESI TENGAH,3081700
SULAWESI SELATAN,8888800
SULAWESI TENGGARA,2703500
GORONTALO,1186300
SULAWESI BARAT,1378100
MALUKU,1787100
MALUKU UTARA,1252300
PAPUA BARAT,986000
PAPUA,3393100
